COMMON_NAME,TITLE,FAB_PROD,RET_PROD,REV,LAYER,STEP,PLATE_TYPE,TAPEIN_TREND,ITO_TREND,ITO_COMMIT,ITO_STATUS,RET_FABREV,FAB,BARCODE,IMO_TREND,IMO_COMMIT,IMO_STATUS,SHIPDATE,FAB_REQUIREDDATE,IMO_DOTPROCESS,IMO_ISHOT,TECHNOLOGY,TO_ENGCONTACT,DBNAMES,LAST_UPDATED_TIMESTAMP
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,PSD,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.1.2.0,F32,8PXMCGPSD0AA3,07/20/2025,2025-07-19 00:00:00,Shipped,2025-07-20 00:13:52,08/02/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PSD,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.1.2.0,F32,8PXMCGPSD0AA4,07/19/2025,2025-07-19 00:00:00,Shipped,2025-07-19 19:51:50,08/02/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AB3,8PXMCVAG,8PXMCG,0,QDM,G,AI6N,12/22/2024,12/24/2024,2024-12-29 11:02:00,Released,REV 2.1.4.0,F32,8PXMCGQDM0AB3,07/21/2025,2025-07-19 00:00:00,Shipped,2025-07-21 06:47:32,08/01/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0c.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AB4,8PXMCVAG,8PXMCG,0,QDM,G,AI6N,12/22/2024,12/24/2024,2024-12-29 11:02:00,Released,REV 2.1.4.0,F32,8PXMCGQDM0AB4,07/16/2025,2025-07-19 00:00:00,Shipped,2025-07-16 03:39:00,08/01/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0c.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0EA3,8PXMCVAG,8PXMCG,0,DNU,G,EA6M,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.2.3.0,F32,8PXMCGDNU0EA3,07/18/2025,2025-08-06 00:00:00,Shipped,2025-07-18 02:42:55,07/17/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0EA5,8PXMCVAG,8PXMCG,0,DPR,G,EA6M,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.2.7.0,F32,8PXMCGDPR0EA5,07/03/2025,2025-06-13 00:00:00,Shipped,2025-07-03 14:13:18,07/09/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0EA5,8PXMCVAG,8PXMCG,0,PCL,G,EA6M,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.2.1.0,F32,8PXMCGPCL0EA5,06/25/2025,2025-06-25 00:00:00,Shipped,2025-06-25 09:39:19,08/06/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:08:35
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,NDR,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.0.4.0,F32,8PXMCGNDR0AA3,07/13/2025,2025-07-12 00:00:00,Shipped,2025-07-13 06:26:54,07/07/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0EA6,8PXMCVAG,8PXMCG,0,PCL,G,EA6M,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.2.1.0,F52,8PXMCGPCL0EA6,07/25/2025,2025-06-18 00:00:00,Shipped,2025-07-25 20:10:11,08/06/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:08:35
PANTHERLAKECPU-UDIE,0EA3,8PXMCVAG,8PXMCG,0,PCT,G,EA6M,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 3.0.1.0,F32,8PXMCGPCT0EA3,06/29/2025,2025-06-17 00:00:00,Shipped,2025-06-29 06:36:04,08/05/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
