LOT,OPERATION,OUT_DATE
A528920B,180443,2025-07-24 11:41:10
A528920B,217267,2025-07-24 11:41:10
A528920B,224462,2025-07-24 11:41:10
A528920B,204142,2025-07-24 14:19:44
A528920B,263382,2025-07-24 14:47:42
A528920B,263525,2025-07-24 15:10:56
A528920B,145659,2025-07-24 15:41:23
A528920B,146372,2025-07-24 15:47:56
A528920B,182963,2025-07-24 15:51:55
A528920B,180723,2025-07-24 16:09:34
A528920B,180724,2025-07-24 16:26:24
A528920B,224272,2025-07-24 16:26:24
A528920B,224461,2025-07-24 16:26:24
A528920B,204091,2025-07-24 16:45:55
A528920B,180443,2025-07-24 17:01:31
A528920B,217267,2025-07-24 17:01:31
A528920B,224462,2025-07-24 17:01:32
A528920B,204142,2025-07-24 17:06:46
A528920B,204320,2025-07-24 17:06:46
A528920B,224273,2025-07-24 17:06:46
A528920B,180794,2025-07-24 17:24:47
A528920B,231616,2025-07-24 17:31:23
A528920B,210936,2025-07-24 17:48:46
A528920B,192004,2025-07-24 18:00:54
A528920B,234670,2025-07-24 18:37:22
A528920B,180754,2025-07-24 18:56:17
A528920B,180759,2025-07-24 19:04:10
A528920B,180701,2025-07-24 19:14:56
A528920B,234672,2025-07-24 19:28:21
A528920B,180686,2025-07-24 19:34:52
A528920B,180721,2025-07-24 19:43:23
A528920B,180722,2025-07-24 19:51:47
A528920B,204095,2025-07-24 20:18:31
A528920B,180442,2025-07-24 20:28:22
A528920B,217268,2025-07-24 20:28:22
A528920B,204148,2025-07-24 22:15:34
A528920B,263382,2025-07-24 22:41:58
A528920B,263525,2025-07-24 23:01:01
A528920B,145659,2025-07-24 23:18:20
A528920B,146372,2025-07-24 23:26:43
A528920B,182963,2025-07-24 23:31:23
A528920B,180721,2025-07-24 23:38:44
A528920B,180722,2025-07-24 23:50:24
A528920B,204095,2025-07-25 00:08:52
A528920B,180442,2025-07-25 00:15:51
A528920B,217268,2025-07-25 00:15:51
A528920B,204148,2025-07-25 00:20:27
A528920B,204324,2025-07-25 00:20:27
A528920B,180793,2025-07-25 00:37:17
A528920B,231617,2025-07-25 00:43:32
A528920B,210937,2025-07-25 00:59:34
A528920B,192003,2025-07-25 01:11:40
A528920B,234669,2025-07-25 01:41:34
A528920B,144165,2025-07-25 01:52:56
A528920B,251464,2025-07-25 22:45:40
A528920B,251548,2025-07-26 01:08:49
A528920B,251465,2025-07-26 03:43:14
A528920B,251549,2025-07-26 04:01:37
A528920B,251466,2025-07-26 05:16:53
A528920B,251550,2025-07-26 05:37:12
A528920B,198845,2025-07-26 06:00:24
A528920B,178985,2025-07-26 06:13:53
A528920B,179201,2025-07-26 06:13:53
A528920B,199749,2025-07-26 09:56:22
A528920B,189156,2025-07-26 20:17:38
A528920B,234666,2025-07-26 20:29:18
A528920B,197489,2025-07-26 21:08:57
A528920B,199290,2025-07-27 08:30:54
A528920B,209779,2025-07-27 08:30:54
A528920B,216071,2025-07-27 08:30:54
A528920B,209780,2025-07-27 09:51:49
A528920B,209781,2025-07-27 10:10:40
A528920B,209782,2025-07-27 10:38:01
A528920B,209783,2025-07-27 10:38:07
A528920B,146328,2025-07-27 10:50:13
A528920B,182920,2025-07-27 10:58:37
A528920B,243323,2025-07-28 21:05:06
A528920B,242467,2025-07-28 21:28:01
A528920B,213951,2025-07-29 19:59:15
A528920B,216070,2025-07-29 19:59:15
A528920B,201102,2025-07-29 21:06:30
A528920B,242641,2025-07-30 00:02:22
A528920B,236731,2025-07-30 01:06:11
A528920B,205272,2025-07-30 01:14:03
A528920B,253279,2025-07-30 01:14:03
A528920B,189008,2025-07-30 01:28:34
A528920B,234667,2025-07-30 01:43:47
A528920B,177445,2025-07-30 01:52:56
A528920B,194296,2025-07-30 03:02:34
A528920B,194297,2025-07-30 05:37:47
A528920B,183375,2025-07-30 06:38:42
A528920B,184142,2025-07-30 06:50:41
A528920B,209699,2025-07-30 06:50:41
A528920B,212146,2025-07-30 06:50:41
A528920B,243696,2025-07-30 06:50:41
A528920B,212147,2025-07-30 06:50:42
A528920B,177401,2025-07-30 06:59:00
A528920B,183845,2025-07-30 06:59:00
A528920B,183447,2025-07-30 07:23:45
A528920B,183846,2025-07-30 07:52:29
A528920B,186303,2025-07-30 07:52:29
A528920B,144082,2025-07-30 07:58:38
A528920B,177402,2025-07-30 08:10:47
A528920B,224274,2025-07-30 08:10:47
A528920B,224463,2025-07-30 08:10:47
A528920B,143585,2025-07-30 09:17:01
A528920B,206989,2025-07-30 09:17:01
A528920B,224464,2025-07-30 09:17:01
A528920B,257029,2025-07-30 09:17:01
