LOT,OPERATION,OUT_DATE
A5280130,209779,2025-08-02 15:12:08
A5280130,216071,2025-08-02 15:12:08
A5280130,209780,2025-08-02 16:38:29
A5280130,209781,2025-08-02 16:50:45
A5280130,209782,2025-08-02 19:03:37
A5280130,209780,2025-08-03 01:45:46
A5280130,209781,2025-08-03 01:58:03
A5280130,209782,2025-08-03 02:11:08
A5280130,180385,2025-08-03 02:15:19
A5280130,209783,2025-08-03 02:15:32
A5280130,146328,2025-08-03 02:25:13
A5280130,182920,2025-08-03 02:33:13
A5280130,243323,2025-08-04 01:20:42
A5280130,242467,2025-08-04 02:31:56
A5280130,213951,2025-08-04 11:10:45
A5280130,216070,2025-08-04 11:10:45
A5280130,201102,2025-08-04 15:43:30
A5280130,242641,2025-08-04 16:44:59
A5280130,236731,2025-08-04 17:51:00
A5280130,205272,2025-08-04 18:06:21
A5280130,253279,2025-08-04 18:06:21
A5280130,189008,2025-08-04 18:15:23
A5280130,234667,2025-08-04 19:03:05
A5280130,177445,2025-08-04 19:09:01
A5280130,194296,2025-08-04 21:55:20
A5280130,194297,2025-08-05 02:12:36
A5280130,146197,2025-08-05 07:10:46
A5280130,183375,2025-08-05 07:10:46
A5280130,214155,2025-08-05 07:10:46
A5280130,256934,2025-08-05 07:10:46
A5280130,184142,2025-08-05 07:30:18
A5280130,209699,2025-08-05 07:30:18
A5280130,212146,2025-08-05 07:30:18
A5280130,212147,2025-08-05 07:30:18
A5280130,243696,2025-08-05 07:30:18
A5280130,177401,2025-08-05 07:47:23
A5280130,183845,2025-08-05 07:47:24
A5280130,183447,2025-08-05 08:06:35
A5280130,183846,2025-08-05 08:22:50
A5280130,186303,2025-08-05 08:22:50
A5280130,144082,2025-08-05 08:28:51
A5280130,177402,2025-08-05 08:43:36
A5280130,224274,2025-08-05 08:43:36
A5280130,224463,2025-08-05 08:43:36
A5280130,143585,2025-08-05 09:47:26
A5280130,206989,2025-08-05 09:47:26
A5280130,224464,2025-08-05 09:47:26
A5280130,257029,2025-08-05 09:47:26
A5280130,204087,2025-08-05 09:54:02
A5280130,224275,2025-08-05 10:04:47
A5280130,257038,2025-08-05 10:04:47
A5280130,226748,2025-08-05 12:00:50
A5280130,145049,2025-08-05 12:17:24
A5280130,146197,2025-08-05 12:51:05
A5280130,214155,2025-08-05 12:51:05
A5280130,256934,2025-08-05 12:51:05
A5280130,261480,2025-08-05 12:51:05
A5280130,251263,2025-08-05 15:18:45
A5280130,250136,2025-08-05 15:36:21
A5280130,217138,2025-08-05 20:59:15
A5280130,217536,2025-08-05 20:59:15
A5280130,254145,2025-08-05 20:59:15
A5280130,228474,2025-08-05 21:10:59
A5280130,143802,2025-08-05 21:22:21
A5280130,211749,2025-08-05 21:22:21
A5280130,143803,2025-08-06 15:29:10
A5280130,143804,2025-08-06 15:37:42
A5280130,143805,2025-08-06 15:37:42
A5280130,231190,2025-08-06 15:38:01
A5280130,189009,2025-08-06 15:50:38
A5280130,207026,2025-08-07 11:02:02
A5280130,260132,2025-08-07 11:31:55
A5280130,215820,2025-08-09 14:04:47
A5280130,189011,2025-08-09 14:08:19
A5280130,260133,2025-08-09 14:44:09
A5280130,211035,2025-08-09 15:14:47
A5280130,179282,2025-08-09 15:37:51
A5280130,180594,2025-08-09 16:03:49
A5280130,181212,2025-08-09 16:03:49
A5280130,207028,2025-08-09 19:57:28
A5280130,179283,2025-08-09 20:11:14
A5280130,238213,2025-08-09 22:16:54
A5280130,215717,2025-08-09 22:46:57
A5280130,179851,2025-08-09 23:09:48
A5280130,146197,2025-08-09 23:44:29
A5280130,179284,2025-08-09 23:44:29
A5280130,214155,2025-08-09 23:44:29
A5280130,256934,2025-08-09 23:44:29
A5280130,211036,2025-08-10 00:12:32
A5280130,179285,2025-08-10 00:59:51
A5280130,251953,2025-08-10 01:12:02
A5280130,180595,2025-08-10 01:29:51
A5280130,181213,2025-08-10 01:29:51
A5280130,207029,2025-08-10 03:04:45
A5280130,179286,2025-08-10 03:19:25
A5280130,262002,2025-08-10 04:22:55
A5280130,215718,2025-08-10 04:40:14
A5280130,179852,2025-08-10 05:00:38
A5280130,146197,2025-08-10 05:18:03
A5280130,179287,2025-08-10 05:18:03
A5280130,214155,2025-08-10 05:18:03
A5280130,256934,2025-08-10 05:18:03
A5280130,179302,2025-08-10 05:37:42
A5280130,216292,2025-08-10 05:59:39
A5280130,189012,2025-08-10 06:19:02
A5280130,248212,2025-08-10 10:26:46
A5280130,215719,2025-08-10 10:41:12
A5280130,179854,2025-08-10 11:15:54
A5280130,179275,2025-08-10 11:30:40
A5280130,146197,2025-08-10 11:30:41
A5280130,214155,2025-08-10 11:30:41
A5280130,256934,2025-08-10 11:30:41
A5280130,184679,2025-08-10 11:46:41
A5280130,202211,2025-08-10 11:46:41
A5280130,254344,2025-08-10 11:46:41
A5280130,250311,2025-08-10 13:12:25
A5280130,204915,2025-08-10 13:28:01
A5280130,202212,2025-08-10 13:42:44
A5280130,204916,2025-08-10 13:42:44
A5280130,183419,2025-08-10 14:00:11
A5280130,183420,2025-08-10 14:00:11
A5280130,247706,2025-08-10 14:00:11
A5280130,189013,2025-08-10 14:09:45
A5280130,183642,2025-08-10 14:32:56
A5280130,201135,2025-08-10 14:32:56
A5280130,241230,2025-08-10 14:33:41
A5280130,219415,2025-08-12 07:10:03
A5280130,202213,2025-08-12 07:46:40
A5280130,255674,2025-08-12 07:46:40
A5280130,202214,2025-08-12 09:21:38
A5280130,246010,2025-08-12 09:21:38
A5280130,215720,2025-08-12 09:34:53
A5280130,240382,2025-08-12 09:53:05
A5280130,219416,2025-08-12 18:28:18
A5280130,214155,2025-08-12 19:23:16
A5280130,232489,2025-08-12 19:23:16
A5280130,256934,2025-08-12 19:23:16
A5280130,146197,2025-08-12 19:23:17
A5280130,143806,2025-08-12 19:38:46
A5280130,254144,2025-08-12 19:38:46
A5280130,143807,2025-08-13 14:09:08
A5280130,143808,2025-08-13 14:41:07
A5280130,143807,2025-08-13 14:54:01
A5280130,143809,2025-08-13 14:54:01
A5280130,143808,2025-08-13 15:56:30
A5280130,143809,2025-08-13 15:56:30
A5280130,180385,2025-08-13 16:58:26
