NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1722,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,,LITHO,LI-SAYli,0,474,VCT
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1777,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,,LITHO,LI-SAYli,0,488,MT0
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1832,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,,LITHO,LI-SAYli,0,505,VA0
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1879,251775,L #8MT1deS,L #P1278 deDGN MT1 SED (VA0) Clippe,,,LITHO,LI-SAYli,0,517,MT1
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1927,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,,LITHO,LI-SBHcu,0,527,TFR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1954,260270,L #8MT2wS,L #P1278 w DD WB DGN MT2 SED (MT1),,,LITHO,LI-SAYli,0,535,MT2
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1978,260803,L #8VA1wS,"L #P1278 w VA1 SED (MT2,MT1)",,,LITHO,LI-SAYli,0,540,VA1
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2035,265238,L #8MT3gS,L #P1278 g Drgn Apollo MT3 SED (MT2,,,LITHO,LI-SAYli,0,557,MT3
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2063,260806,L #8VA2wS,"L #P1278 w VA2 SED (MT3,MT2)",,,LITHO,LI-SAYli,0,560,VA2
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2128,265240,L #8MT4gS,L #P1278 g Drgn Apollo MT4 SED (MT3,,,LITHO,LI-SAYli,0,577,MT4
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2146,260810,L #8VA3wS,"L #P1278 w VA3 SED (MT4,MT3)",,,LITHO,LI-SAVli,0,580,VA3
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2203,249526,L #86MT5 d,L #P1278.6 d MT5 SED (MT4),,,LITHO,LI-SNYli,0,595,MT5
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2225,249553,L #86VA4,"L #P1278.6 d VA4 SED (MT5,MT4)",,,LITHO,LI-SAVli,0,597,VA4
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2271,243912,L #86MT6 S,L #P1278.6 MT6 SED (MT5),,,LITHO,LI-SNYli,0,607,MT6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2287,243953,L #8VA5fS,"L #P1278 f VA5 SED (MT6,MT5)",,,LITHO,LI-SAVli,0,608,VA5
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2333,243913,L #86MT7 S,L #P1278.6 MT7 SED (MT6),,,LITHO,LI-SNYli,0,619,MT7
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2344,243954,L #8VA6fS,"L #P1278 f VA6 SED (MT7,MT6)",,,LITHO,LI-SAVli,0,620,VA6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2376,243914,L #86MT8 S,L #P1278.6  MT8 SED (MT7),,,LITHO,LI-SNYli,0,631,MT8
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2387,243955,L #8VA7fS,"L #P1278 f VA7 SED (MT8,MT7)",,,LITHO,LI-SAVli,0,632,VA7
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2418,243915,L #86MT9 S,L #P1278.6 MT9 SED (MT8),,,LITHO,LI-SNYli,0,643,MT9
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2433,243956,L #8VA8fS,"L #P1278 f VA8 SED (MT9,MT8)",,,LITHO,LI-SAVli,0,644,VA8
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2473,243916,L #86M10 S,L #P1278.6 M10 SED (MT9),,,LITHO,LI-SNYli,0,655,M10
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2484,243957,L #8VA9fS,"L #P1278 f VA9 SED (M10,MT9)",,,LITHO,LI-SAVli,0,656,VA9
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2512,258787,L #8cM11dS,L #P1278c d M11 SED (M10),,,LITHO,LI-SNYli,0,666,M11
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2522,243958,L #8V10fS,"L #P1278 f V10 SED (M11,M10)",,,LITHO,LI-SAVli,0,667,V10
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2558,258791,L #8cM12dS,L #P1278c d M12 SED (M11),,,LITHO,LI-SNYli,0,677,M12
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2572,243959,L #8V11fS,"L #P1278 f V11 SED (M12,M11)",,,LITHO,LI-SAVli,0,678,V11
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2601,221050,L #8cM13nS,L #P1278c n M13 SED (M12),,,LITHO,LI-SBHcu,0,688,M13
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2611,248909,L #8V12fS,"L #P1278 f V12 SED (M13,M12)",,,LITHO,LI-SAVli,0,689,V12
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2643,221052,L #8cM14nS,L #P1278c n M14 SED (M13),,,LITHO,LI-SBHcu,0,699,M14
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2652,221053,L #8cV13nS,"L #P1278c n V13 SED (M14,M13)",,,LITHO,LI-SBHcu,0,700,V13
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2749,232502,L #8BKRnkS,"L #P1278 BKR NTKey SED (DNU,DPR)",,,LITHO,LI-SNEli,0,721,BKR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2798,257413,L #8BM0bmS,L #P1278 BM0 FSM SED (DVG) BCN LOOP,,,LITHO,LI-SNYli,0,730,BM0
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2814,255739,L #8BCNnkS,L #P1278 BCN NTKey SED (BM0),,,LITHO,LI-SNYli,0,732,BCN
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2849,255584,L #8BV0fS,L #P1278 FSM BV0 SED (BM0),,,LITHO,LI-SBHcu,0,739,BV0
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2860,241839,L #8BM1t S,L #P1278 t BM1 SED (BM0),,,LITHO,LI-SBLcu,0,740,BM1
